id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30842994,Quaint Cottage Above the City in Bo-Kaap,224950933,Ralph,,Ward 77,-33.91857,18.41496,Entire home/apt,1105,2,2,2019-02-26,0.53,2,179
30843864,Bright and sunny modern apartment. City Centre,51410265,Faaieq,,Ward 77,-33.93357,18.43179,Private room,853,2,1,2019-01-02,0.28,1,0
30843873,Room Beach Holiday affordable apartment,229515132,Darius,,Ward 23,-33.79469,18.459,Private room,755,1,1,2019-01-03,0.28,1,179
30846620,Sand and See 302,3961453,Jolene,,Ward 23,-33.79464,18.45877,Entire home/apt,1203,2,0,,,111,314
30847682,Warm and trendy saltriver apartment,1441132,Cyndi,,Ward 57,-33.93281,18.45852,Entire home/apt,797,2,3,2019-04-07,0.85,2,0
30848517,Carradale house,226274726,Saeid,,Ward 107,-33.80921,18.48575,Private room,448,2,2,2019-02-26,0.80,2,365
30849121,"V and A waterfront close, balcony, restaurants",63202371,Scott,,Ward 115,-33.90775,18.41033,Entire home/apt,1804,2,12,2019-04-07,3.05,62,113
30849169,The Zara,230640844,Zena Juma,,Ward 59,-33.99161,18.46796,Private room,545,20,0,,,1,340
30850339,Secure 3Bed Beachfront Apartment. Amazing Views!,230655098,Vuyo,,Ward 54,-33.91704,18.38586,Entire home/apt,3496,1,2,2019-03-12,0.54,1,288
30850383,Lovely room in historic Bo-kaap,164671966,Hammad,,Ward 77,-33.91766,18.41658,Private room,545,3,2,2019-02-03,0.66,1,0
30850876,Summer holiday vibes,46533153,Stephanie,,Ward 115,-33.90982,18.40165,Entire home/apt,2196,5,0,,,1,0
30852506,Cape Town City Centre,230671920,Willem & Michelle,,Ward 115,-33.92506,18.41671,Entire home/apt,1007,2,15,2019-04-01,3.72,1,164
30852814,Cape Town apartment with view of Table Mountain,230674164,Eugene,,Ward 4,-33.85362,18.51014,Entire home/apt,1203,2,4,2019-04-09,1.17,1,177
30853591,"Cool, Fresh & Kitted-Out CBD 1Bed Apartment",31722828,Andrew,,Ward 115,-33.92049,18.42287,Entire home/apt,503,2,7,2019-03-31,2.02,16,175
30856078,Foreshore Living,163125814,Chanae,,Ward 115,-33.91851,18.42772,Private room,1203,1,8,2019-02-24,2.18,1,179
30867262,Cape Town SUNSET HILL Apartment  3 - Beachfront!!!,2397423,René,,Ward 4,-33.85699,18.49084,Entire home/apt,2210,2,4,2019-03-03,1.14,6,348
30868463,"Chic, Secure Waterfront Apartment - Mountain views",219647860,Alice,,Ward 115,-33.90968,18.41948,Entire home/apt,4000,2,5,2019-02-24,1.23,4,365
30870529,"Cape Town Timeshare, Peninsula Hotel",230740924,Derek,,Ward 54,-33.92139,18.37901,Entire home/apt,3007,1,3,2019-02-08,1.10,1,0
30872038,Dolphin Beach Sea on your doorstep. Amazing views,63202371,Scott,,Ward 107,-33.82197,18.47852,Entire home/apt,2405,5,0,,,62,0
30873818,Inam Guest House,230750288,Ali,,Ward 19,-33.94958,18.68833,Private room,503,1,0,,,1,364
30874196,"A Heavenly View 2, Muizenberg, Cape Town",213326446,Carina,,Ward 64,-34.11019,18.46585,Entire home/apt,755,27,0,,,2,290
30874544,Bright comfortable large seaside apartment,147521038,Brad,,Ward 54,-33.91849,18.38916,Entire home/apt,1958,2,0,,,1,8
30875171,Little cottage flat,118793860,Guido,,Ward 74,-34.02519,18.36633,Entire home/apt,727,1,1,2018-12-27,0.27,1,89
30875326,2 Oceans Apartments,213326446,Carina,,Ward 69,-34.12201,18.39408,Entire home/apt,1706,27,0,,,2,250
30875469,Blue Views Villa,5011034,Kerri And Kelly From Blue Views,,Ward 54,-33.96027,18.37565,Entire home/apt,19494,1,0,,,9,4
30875754,Glorious Table Mountain Views from De Waterkant,218745884,Jayson,,Ward 115,-33.91682,18.41867,Entire home/apt,1007,2,10,2019-04-08,2.73,2,361
30876397,Classic Room 2,134535422,Marius & Johnathon,,Ward 113,-33.82585,18.51494,Private room,755,1,0,,,6,364
30876452,"Stunning, Open-Plan Home Two Minutes from Beach",230763749,Caitlin,,Ward 4,-33.85157,18.49234,Entire home/apt,2503,2,7,2019-03-30,1.89,1,150
30876485,Spacious Open Plan Studio Apartment,12945822,Brett,,Ward 55,-33.88022,18.49253,Entire home/apt,448,3,2,2019-01-31,0.71,16,106
30876862,Brandi Cottage,226344935,Kim,,Ward 73,-34.0259,18.46125,Entire home/apt,448,3,5,2019-03-25,1.40,2,337
30877045,2 Bedroom cottage in the heart of Cape Town,230767688,James,,Ward 77,-33.93355,18.4273,Entire home/apt,1161,2,6,2019-03-16,1.86,1,175
30877346,ART DECO STUDIO | Penthouse Panoramic,13948169,Robert,,Ward 115,-33.92739,18.41474,Entire home/apt,699,1,12,2019-03-29,3.05,5,137
30877428,Cape Town home away from home,165186566,Kathy,,Ward 23,-33.80278,18.47665,Entire home/apt,503,1,0,,,2,137
30877489,"A Heavenly View 1, Muizenberg, Kapstadt",213327592,Elisa,,Ward 64,-34.10885,18.46608,Entire home/apt,1902,27,0,,,2,299
30878792,"Breathe in the ocean view, private terrace, pool",230780171,Emmie,,Ward 54,-33.96196,18.3834,Entire home/apt,1356,2,3,2019-01-24,0.77,1,289
30879145,Ironworks Luxury City Flat,30146797,Helga,,Ward 115,-33.92925,18.44321,Entire home/apt,713,1,12,2019-04-06,2.98,4,177
30879571,"A Heavenly View 3, Muizenberg, Cape Town",213327592,Elisa,,Ward 64,-34.1084,18.46624,Entire home/apt,657,27,0,,,2,266
30881649,On the slope of Table Mountain!,103952419,Mari,,Ward 77,-33.94221,18.42248,Entire home/apt,979,3,7,2019-03-31,3.96,1,69
30881779,1 Bedroom Flatlet available in Durbanville.,32103364,Piet,,Ward 112,-33.83021,18.63305,Entire home/apt,448,2,3,2019-04-01,0.77,1,292
30882247,SUE'S STUDIO,225334268,Sue,,Ward 107,-33.81905,18.49019,Entire home/apt,951,1,1,2018-12-21,0.25,2,352
30882880,Home away from home in Cape Town,230132045,Danya,,Ward 54,-33.91452,18.3914,Entire home/apt,2293,1,15,2019-04-07,4.02,1,83
30883078,PAULI'S PAD,225334268,Sue,,Ward 107,-33.82096,18.49045,Entire home/apt,1091,1,3,2019-02-17,0.83,2,339
30883626,The Gem,226548135,Amy,,Ward 113,-33.82095,18.51875,Entire home/apt,797,1,0,,,1,90
30884490,Harbour views from mountainside home,5032712,Lindsay,,Ward 61,-34.19724,18.43929,Entire home/apt,2503,3,1,2018-12-29,0.27,1,269
30885533,Top Floor Spacious Flat near Hip Bree Street,154497056,Shawn,,Ward 115,-33.92336,18.41687,Entire home/apt,1007,2,4,2019-02-15,1.11,4,176
30885713,Holiday accommodation,230827527,Ziyanda,,Ward 107,-33.81499,18.49669,Entire home/apt,448,1,1,2018-12-22,0.25,1,364
30892225,Mussel Beach Holiday Lets,64584224,Jonathan,,Ward 61,-34.19468,18.37413,Entire home/apt,1748,1,13,2019-04-13,3.31,1,169
30892443,Exquisite Large Family Home in Prime Location,110490227,Shamnee,,Ward 74,-34.01621,18.35314,Entire home/apt,7496,2,0,,,1,52
30892549,Signal Hill Sanctuary with Views,21388914,Johan,,Ward 115,-33.91295,18.40866,Entire home/apt,2797,4,0,,,1,179
30893594,Dolphin Beach Colour. Direct Beach access +VIEWS!,63202371,Scott,,Ward 107,-33.82205,18.47884,Entire home/apt,951,3,8,2019-03-30,2.18,62,0
30893865,"2nd Floor Dolphin Beach APT, Style and Views",63202371,Scott,,Ward 107,-33.82037,18.47775,Entire home/apt,951,4,8,2019-03-07,2.24,62,6
30898763,Sea Point Convenience at a great price,4000391,Jonathan,,Ward 54,-33.92318,18.38322,Entire home/apt,1804,1,0,,,1,89
30899444,Crown Comfort - Luxury Spacious Guest Cottage,100626271,Karin,,Ward 5,-33.87268,18.53811,Entire home/apt,1203,2,23,2019-04-12,5.90,1,324
30902548,Mountain Classic - Luxury,98242082,Graham,,Ward 58,-33.98663,18.47309,Private room,1301,1,0,,,5,337
30903362,Lovely spacious 3 bedroom townhouse,230947908,Ryno,,Ward 8,-33.89155,18.70561,Entire home/apt,755,1,2,2019-01-04,0.51,1,9
30905020,"8 on Rowallan, free Wifi",62209730,Debra,,Ward 23,-33.81089,18.48026,Entire home/apt,783,2,7,2019-04-18,2.12,2,261
30905697,Beautiful fully furnished self catering home,230966546,Feroza,,Ward 83,-34.11587,18.82379,Entire home/apt,3496,1,0,,,1,365
30908675,Getaway Close to the Beach,230987846,Bibiane,,Ward 64,-34.09974,18.47375,Entire home/apt,713,2,5,2019-03-10,2.03,1,243
30908871,Luxury Century City Penthouse,230988092,Brenda,,Ward 55,-33.88814,18.50591,Entire home/apt,4195,2,2,2019-03-20,1.71,1,0
30914346,Camp/Kloof Street One bedroom with awesome view,12198212,K U,,Ward 77,-33.93376,18.40667,Entire home/apt,448,7,3,2019-03-12,1.48,4,166
30914530,"Spacious townhouse, 200m from kite surfing beach",226778111,Ankemarie,,Ward 107,-33.82363,18.48005,Entire home/apt,1496,2,1,2018-12-28,0.27,1,353
30914922,Suburbia in the Winelands,231035064,Marguerite,,Ward 70,-33.85533,18.6072,Entire home/apt,797,30,1,2019-03-05,0.67,1,180
30915076,Spacious open plan family holiday home,231035792,Zarina,,Ward 60,-33.98591,18.50049,Entire home/apt,1524,2,2,2018-12-29,0.52,1,27
30915976,CONSTANTIA CAPE  HOLIDAY HOME PLUS GUEST COTTAGE,6269301,Lisa,,Ward 62,-34.01679,18.42685,Entire home/apt,15005,1,0,,,20,364
30916171,Chapman's Peak Cabin - incredible beach views!,8794010,Uta,,Ward 69,-34.09595,18.36204,Entire home/apt,2503,3,6,2019-04-14,1.76,8,346
30916503,Zingce_2 Bedroom Apartment,166821613,Sibusiso,,Ward 1,-33.84015,18.54563,Entire home/apt,1804,2,0,,,3,364
30917155,Cozy holiday home in kebilworth,231049395,Tshilanda,,Ward 58,-33.99692,18.48934,Entire home/apt,713,2,1,2019-01-03,0.28,1,362
30917169,Neptunes Apartment,47153608,Mandy,,Ward 55,-33.89368,18.4832,Entire home/apt,1846,3,0,,,3,134
30917281,Four Palms Accommodation,73492693,Carina,,Ward 112,-33.85099,18.64082,Private room,1161,1,1,2019-02-02,0.39,3,364
30917836,ANCHORS AWAY - A unit people keep coming back to,115785713,Hilary,,Ward 23,-33.79426,18.4613,Entire home/apt,993,2,1,2019-03-24,1,2,309
30918993,开普小镇,209674132,雨,,Ward 113,-33.83747,18.49578,Private room,895,3,0,,,2,179
30919431,Chic Double Volume 2BRM in Cape Town City Center,231061478,Dylan,,Ward 115,-33.92038,18.423,Entire home/apt,1384,2,3,2019-03-16,0.76,1,335
30920971,Camps Bay modern apartment with sea view,104111130,Sylvie,,Ward 54,-33.96434,18.37706,Entire home/apt,783,3,1,2019-02-12,0.45,1,16
30923414,Historic 2 Bedroom house with pool-  Greenpoint,231076609,Selwyn,,Ward 115,-33.9082,18.4097,Entire home/apt,1846,2,2,2019-03-29,1.62,1,352
30924594,"Lekker Camper - Retro VW T3 Camper Hire, Cape Town",231093305,Lekker,,Ward 84,-34.08366,18.84662,Entire home/apt,1301,5,0,,,2,346
30927666,3 Bed/2 Bath Unit near CT Airport & Golf Courses,109304050,Ted,,Ward 84,-34.07957,18.85037,Entire home/apt,1566,5,0,,,2,205
30928998,Lalapanzi upper deck,11406020,Ingrid,,Ward 64,-34.14915,18.43804,Entire home/apt,1944,2,0,,,1,337
30931932,Bishopscourt Mountain view Apartment in leafy area,63926722,Shelley,,Ward 62,-33.98507,18.44755,Entire home/apt,1315,2,1,2019-03-21,1,1,337
30932538,"Lekker Camper - Glamp VW T5 Camper Hire, Cape Town",231093305,Lekker,,Ward 84,-34.08367,18.84692,Entire home/apt,1594,5,0,,,2,350
30933683,"2 private bedrooms in a home: West Coast, CT",161011385,Nyiko,,Ward 107,-33.81515,18.49705,Private room,475,1,1,2018-12-23,0.26,1,353
30935917,❣️Instaworthy Views.Ace Location.Private studio,230910643,Desiré,,Ward 115,-33.93381,18.41715,Entire home/apt,713,1,4,2019-02-13,1.14,1,88
30941124,"Quite, very secure and friendlyness , on all route",137311543,Willie,,Ward 70,-33.87701,18.61273,Entire home/apt,643,3,0,,,1,365
30943385,"Beautiful house, clean and nearby the beach.",231068866,Sazi,,Ward 107,-33.80474,18.50304,Entire home/apt,601,5,1,2019-01-04,0.29,1,363
30943992,Go2 Places,231228598,Angelique,,Ward 84,-34.07135,18.85,Entire home/apt,951,2,0,,,1,364
30944285,2 Bed apartment in safe estate complex,212835486,Bronwyn,,Ward 103,-33.82659,18.72039,Entire home/apt,503,1,3,2019-01-06,0.80,1,178
30944780,Comfortable apartment in the heart of Cape Town,88764754,Blessing,,Ward 54,-33.91279,18.3918,Entire home/apt,1748,1,0,,,1,89
30944847,Beautifully finished Sea Point home with views,185308070,AirStay,,Ward 54,-33.91487,18.39486,Entire home/apt,1496,5,3,2019-04-16,0.83,31,81
30945028,Two bedroom apartment ground floor access controll,231234344,Matholi,,Ward 23,-33.80412,18.52549,Entire home/apt,895,15,0,,,1,90
30947166,"Cosy, clean stand-alone in Sunningdale",95526791,Mbongeni,,Ward 107,-33.79961,18.49635,Entire home/apt,545,1,0,,,1,356
30947586,Mount Place,231239216,Peter,,Ward 62,-33.9876,18.44473,Entire home/apt,5006,7,0,,,1,180
30948480,Luxury De Waterkant Penthouse With Panoramic Views,231256425,Mike,,Ward 115,-33.91413,18.42069,Entire home/apt,4503,2,12,2019-04-14,3.30,1,288
30948520,The Peninsula All Suite Hotel Timeshare for sale,33033908,Rush,,Ward 54,-33.9223,18.38073,Private room,15005,6,0,,,1,365
30948960,Stunning 5 bedroom home in Camps Bay,48303994,Nicki,,Ward 54,-33.96489,18.37848,Entire home/apt,23997,7,0,,,42,320
30952274,Beautiful Views in heart of Cape Town,5116099,Bettina,,Ward 77,-33.92099,18.41406,Entire home/apt,1231,4,4,2019-03-23,1.14,1,260
30952336,Ocean View Drive,50633878,Jon-Luca,,Ward 54,-33.91535,18.3967,Entire home/apt,1301,4,1,2019-03-10,0.75,1,85
30954995,Brand new and delightfully tasteful in Green Point,27136109,Stephanie,,Ward 115,-33.90855,18.40843,Entire home/apt,1147,2,6,2019-01-31,1.68,1,37
30955003,"Noordhaven thatched Beauty, a true holiday haven !",69379149,Karen,,Ward 69,-34.10153,18.38636,Entire home/apt,3007,3,4,2019-02-18,1.05,1,355
30955519,Modern Studio with Views in the Heart of the City.,231306686,Bram,,Ward 115,-33.92699,18.4154,Entire home/apt,503,2,11,2019-03-09,3.14,1,176
30957207,The Lion's Den,703895,Audrey,,Ward 62,-33.9952,18.43176,Entire home/apt,1007,4,1,2019-01-10,0.30,1,313
30958093,"Stunning Ocean Views, Heated Pool & Large Garden.",3929808,Lavinia,,Ward 54,-33.95336,18.37983,Entire home/apt,9999,4,0,,,8,224
30958230,Hout Bay lodge,41792387,Rob And Claire,,Ward 74,-34.02814,18.34776,Entire home/apt,7999,8,0,,,34,365
30958628,Spacious Apartment with Ocean View,24613872,Phil,,Ward 54,-33.9218,18.39211,Entire home/apt,3007,3,0,,,1,89
30967464,Private rooms in a good vibe French home,5660339,Laetitia,,Ward 53,-33.93391,18.51614,Private room,2196,2,0,,,4,364
30968899,Cape Town- SUNSET HILL Apartment 4- Beachfront!!!,2397423,René,,Ward 4,-33.85801,18.49109,Entire home/apt,5398,2,1,2019-01-02,0.28,6,213
30969543,Sunshine self catering accommodation,231397998,Annalene,,Ward 112,-33.81395,18.6331,Entire home/apt,797,1,3,2019-01-21,0.82,1,30
30969614,Spacious rooms + ocean views in classy Fresnaye,3216182,Marli,,Ward 54,-33.92074,18.39178,Entire home/apt,2503,3,1,2019-01-01,0.28,3,89
30971510,15 on penguin guest house,68181540,Arnold /  Arnel,,Ward 61,-34.16757,18.42487,Private room,1245,1,0,,,4,365
30971803,Baby studio,52486591,Donald,,Ward 69,-34.12691,18.38404,Entire home/apt,350,2,1,2019-01-16,0.32,1,0
30971919,Kirstenbosch Forest Lodge - Upper Newlands,231411081,Elizabeth/    Melany,,Ward 62,-33.98044,18.4364,Private room,2993,2,1,2019-01-27,0.37,4,329
30971923,#5 Green Point 2 Bed/R Apartment near Waterfront,18971959,Steven,,Ward 115,-33.90979,18.4024,Entire home/apt,853,1,10,2019-04-12,3.53,7,206
30972130,69 on Sunrise Guest House (Regno: (Phone number hidden by Airbnb) ),231412013,Faith,,Ward 64,-34.09907,18.48107,Entire home/apt,755,1,2,2019-01-19,0.63,2,82
30972269,* Couples and family secluded getaway + pool*,127446,Lucia,,Ward 57,-33.9347,18.46524,Entire home/apt,1496,2,4,2019-03-25,1.79,1,176
30972919,69 on Sunrise: An apartment opposite beach....,231412013,Faith,,Ward 64,-34.10047,18.48128,Entire home/apt,797,1,7,2019-03-19,2.04,2,338
30972990,Dream Room,158052295,Katia,,Ward 112,-33.8362,18.67007,Private room,1245,1,0,,,4,364
30973194,AMAZING artisan loft in SIMONSTOWN,211102953,Vivian,,Ward 61,-34.19454,18.42939,Entire home/apt,853,2,12,2019-04-14,4.68,1,20
30973248,African Room,158052295,Katia,,Ward 112,-33.83695,18.67059,Private room,1007,1,0,,,4,347
30973474,Solis 402,57218252,Sheri,,Ward 54,-33.91241,18.39727,Entire home/apt,5804,1,5,2019-03-23,1.70,109,355
30975584,Penthouse on S,57218252,Sheri,,Ward 115,-33.90954,18.40127,Entire home/apt,8503,1,5,2019-02-11,1.50,109,231
30976207,Elna's Place,59318,Linda,,Ward 23,-33.7855,18.45548,Entire home/apt,1496,4,1,2019-01-03,0.28,13,76
30977123,Special Family Home in Three Anchor Bay,185308070,AirStay,,Ward 115,-33.9094,18.40029,Entire home/apt,3007,5,0,,,31,54
30977791,Modern Designer Penthouse with Panoramic views.,61949559,Ricardo,,Ward 115,-33.92752,18.42032,Entire home/apt,2503,1,33,2019-04-06,8.32,15,307
30979152,"Comfortable, close to beach & lagoon. Rusticana 3",106273190,Clare,,Ward 55,-33.8874,18.49042,Private room,378,1,6,2019-04-12,1.96,3,361
30979735,Bantry Retreat Queen Suite 2,51118054,Roy,,Ward 54,-33.92785,18.37923,Entire home/apt,1748,3,4,2019-04-07,1.82,5,81
30980686,Bantry Retreat Self catering unit,51118054,Roy,,Ward 54,-33.92753,18.38141,Entire home/apt,2489,3,2,2019-02-03,0.74,5,86
30980750,Private Penthouse,227166015,Amelia,,Ward 55,-33.89305,18.50674,Entire home/apt,1412,2,5,2019-03-22,2.00,1,128
30980801,Ocean Views In Apartment With Balcony - Beach Road,29426065,Josh,,Ward 54,-33.92061,18.38084,Entire home/apt,797,1,17,2019-04-15,4.72,31,84
30981018,Grace to Grace,163832644,Manda,,Ward 83,-34.10705,18.82217,Entire home/apt,797,2,4,2019-04-14,2.14,3,345
30982489,Modern Luxury Fresnaye Loft Apartment II,18612601,Daniel,,Ward 54,-33.92569,18.3854,Entire home/apt,699,1,14,2019-04-09,4.24,4,329
30983838,Modern Apartment Cape Town,23534028,Rahim,,Ward 57,-33.93636,18.45873,Entire home/apt,1007,3,0,,,1,364
30984403,Old Oak Guest Suite,231490544,Carlou,,Ward 21,-33.87196,18.64994,Entire home/apt,713,7,1,2019-02-02,0.39,3,365
30984666,Experience modern heritage in a cosy Bokaap home,226935111,Saliem And Sumaya,,Ward 77,-33.92227,18.41342,Entire home/apt,1482,2,1,2019-01-02,0.28,1,178
30985055,This is not available,197091922,Carl,,Ward 54,-33.92093,18.38267,Private room,406,2,0,,,2,179
30986610,Old Oak  Guest Studio,231490544,Carlou,,Ward 21,-33.87249,18.64985,Entire home/apt,489,7,0,,,3,365
30986639,"2 sea view court, 8 glengariff road, seapoint",68886350,Stephen,,Ward 115,-33.90862,18.39852,Private room,252,1,1,2019-04-16,1,1,122
30998704,Beachfront house.Sun Room,181506797,David,,Ward 4,-33.85527,18.49253,Private room,993,1,0,,,4,354
31005078,radel Lagoon Accomodation,231557509,Abby,,Ward 55,-33.8953,18.49185,Entire home/apt,895,1,1,2018-12-28,0.27,1,365
